task_id	hash	native_id	name	exit	duration	realtime	%cpu	%mem	rss	vmem	rchar	wchar
24	e7/9323ae	66470	1_quality_control (gonl-25b_100812_I160_FC20842ABXX_L8)	0	14.5s	10.8s	69.3%	0.7%	114.5 MB	2.5 GB	22.3 MB	684.1 KB
26	46/5e9c83	66978	2_align_and_sort (gonl-25a_100826_I176_FC804L3ABXX_L5)	0	9.5s	4.9s	49.5%	0.1%	23.5 MB	5.7 GB	7.3 MB	1.1 MB
29	b7/4d2943	66572	1_quality_control (gonl-25b_100826_I176_FC804L3ABXX_L7)	0	21.4s	17.3s	73.7%	0.8%	135.2 MB	2.5 GB	12.5 MB	1.1 MB
19	00/d9dea9	67058	2_align_and_sort (gonl-16c_101231_I327_FC810L2ABXX_L6)	0	9s	4.2s	83.8%	0.2%	28.7 MB	6.1 GB	7.9 MB	1.1 MB
27	09/5abca6	67268	2_align_and_sort (gonl-25a_100826_I176_FC804L3ABXX_L6)	0	8.7s	4.6s	55.9%	0.1%	11.8 MB	258 MB	5.7 MB	571.7 KB
31	e2/c3f693	66792	1_quality_control (gonl-25c_100826_I145_FC804G4ABXX_L1)	0	21.2s	15.9s	83.1%	0.9%	141.4 MB	2.5 GB	22.5 MB	1 MB
30	6d/5e1e03	66600	2_align_and_sort (gonl-25b_100812_I160_FC20842ABXX_L8)	0	9.6s	4.4s	66.1%	0.1%	11.8 MB	194 MB	5.8 MB	1.1 MB
33	d4/a43534	66668	1_quality_control (gonl-25c_100815_I147_FC20BEVABXX_L7)	0	20.8s	15.6s	61.3%	0.9%	140.8 MB	2.5 GB	22.6 MB	1.1 MB
34	5b/9badac	66696	1_quality_control (gonl-25c_100826_I145_FC804G4ABXX_L2)	0	19.1s	17s	52.6%	0.8%	135.4 MB	2.5 GB	32.6 MB	1 MB
35	81/3995c8	66820	2_align_and_sort (gonl-25c_100826_I145_FC804G4ABXX_L1)	0	9.6s	5.1s	38.6%	0.1%	11.9 MB	194 MB	5.2 MB	95 B
