sample_alias	file_stable_id	archive_ebi_fullpath
gonl-5a	EGAF00000516430	/fire/A/ega/vol1/EGAR00001190148/fastq/101020_I263_FC80AF9ABXX_L5_HUMcriRDGDIAAPE_2.fq.gz.gpg
gonl-5b	EGAF00000516431	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L2_HUMcriRDHDIAAPE_1.fq.gz.gpg
gonl-5b	EGAF00000516432	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L2_HUMcriRDHDIAAPE_2.fq.gz.gpg
gonl-5b	EGAF00000516433	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L3_HUMcriRDHDIABPE_1.fq.gz.gpg
gonl-5b	EGAF00000516434	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L3_HUMcriRDHDIABPE_2.fq.gz.gpg
gonl-5b	EGAF00000516435	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L4_HUMcriRDHDIBAPE_1.fq.gz.gpg
gonl-5b	EGAF00000516436	/fire/A/ega/vol1/EGAR00001190149/fastq/101009_I189_FC80A86ABXX_L4_HUMcriRDHDIBAPE_2.fq.gz.gpg
gonl-5b	EGAF00000516437	/fire/A/ega/vol1/EGAR00001190149/fastq/101020_I263_FC80B77ABXX_L1_HUMcriRDHDIAAPE_1.fq.gz.gpg
gonl-5b	EGAF00000516438	/fire/A/ega/vol1/EGAR00001190149/fastq/101020_I263_FC80B77ABXX_L1_HUMcriRDHDIAAPE_2.fq.gz.gpg
gonl-5c	EGAF00000516439	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L5_HUMcriRDIDIAAPE_1.fq.gz.gpg
gonl-5c	EGAF00000516440	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L5_HUMcriRDIDIAAPE_2.fq.gz.gpg
gonl-5c	EGAF00000516441	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L6_HUMcriRDIDIABPE_1.fq.gz.gpg
gonl-5c	EGAF00000516442	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L6_HUMcriRDIDIABPE_2.fq.gz.gpg
gonl-5c	EGAF00000516443	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L7_HUMcriRDIDIBAPE_1.fq.gz.gpg
gonl-5c	EGAF00000516444	/fire/A/ega/vol1/EGAR00001190150/fastq/101009_I189_FC80A86ABXX_L7_HUMcriRDIDIBAPE_2.fq.gz.gpg
gonl-5c	EGAF00000516445	/fire/A/ega/vol1/EGAR00001190150/fastq/101020_I263_FC80B77ABXX_L2_HUMcriRDIDIAAPE_1.fq.gz.gpg
gonl-5c	EGAF00000516446	/fire/A/ega/vol1/EGAR00001190150/fastq/101020_I263_FC80B77ABXX_L2_HUMcriRDIDIAAPE_2.fq.gz.gpg
